epoch,train_loss,val_loss,val_vector_ready_score,val_mIoU,foreground_mIoU,pixel_accuracy,foreground_pixel_accuracy,wall_boundary_F1,background_IoU,floor_IoU,wall_IoU,window_IoU,door_arc_IoU,door_leaf_IoU,door_origin_IoU,clean_pixel_accuracy,clean_foreground_mIoU,clean_wall_boundary_F1,clean_background_IoU,clean_floor_IoU,clean_wall_IoU,clean_window_IoU,clean_door_arc_IoU,clean_door_leaf_IoU,clean_door_origin_IoU,original_pixel_accuracy,original_foreground_mIoU,original_wall_boundary_F1,original_background_IoU,original_floor_IoU,original_wall_IoU,original_window_IoU,original_door_arc_IoU,original_door_leaf_IoU,original_door_origin_IoU,learning_rate,checkpoint_saved,best_updated
0,1.324586,1.10703,0.41357,0.402234,0.352667,0.785015,0.792537,0.58507,0.699638,0.718092,0.456861,0.334667,0.29169,0.158636,0.156057,0.893242,0.573586,0.932218,0.813247,0.837933,0.826538,0.713768,0.620783,0.22807,0.214426,0.678802,0.189789,0.211377,0.59789,0.613791,0.193221,0.147327,0.164051,0.007543,0.012803,5.994e-05,True,True
1,1.11363,1.044717,0.431756,0.42155,0.372612,0.796272,0.80635,0.597322,0.715179,0.732158,0.469962,0.352258,0.304858,0.187772,0.188664,0.909183,0.620434,0.942909,0.830087,0.86335,0.831028,0.758422,0.735675,0.264656,0.269471,0.685463,0.197015,0.215666,0.61358,0.617076,0.20986,0.161213,0.166424,0.008602,0.018913,5.976e-05,True,True
2,1.063224,1.010598,0.444945,0.434608,0.386371,0.802954,0.806575,0.601795,0.724028,0.738051,0.475867,0.378862,0.315604,0.205851,0.203991,0.91586,0.64938,0.948821,0.843919,0.866889,0.848239,0.795564,0.76177,0.313994,0.309825,0.69215,0.202742,0.220261,0.611894,0.629068,0.217641,0.168163,0.170454,0.01284,0.018285,5.947e-05,True,True
3,1.036627,0.993342,0.447614,0.439586,0.390686,0.806609,0.806364,0.609786,0.732985,0.743339,0.48771,0.364015,0.308139,0.231137,0.209779,0.924821,0.677056,0.950334,0.85421,0.882453,0.858893,0.804382,0.804181,0.384385,0.328044,0.690598,0.200562,0.227502,0.624216,0.622639,0.214181,0.169151,0.166106,0.011858,0.019438,5.906e-05,True,True
4,1.020986,0.985614,0.45576,0.445455,0.398042,0.812284,0.817916,0.614588,0.72993,0.750838,0.495992,0.373336,0.334381,0.227457,0.206251,0.921648,0.667686,0.949235,0.851174,0.875779,0.864493,0.795863,0.790369,0.361476,0.318135,0.704956,0.207904,0.224214,0.615888,0.64674,0.216174,0.172353,0.179703,0.011738,0.020714,5.853e-05,True,True
5,1.005862,0.968211,0.45848,0.449105,0.400666,0.815128,0.823505,0.611733,0.739741,0.756952,0.491137,0.393059,0.321168,0.233137,0.208545,0.931057,0.686432,0.951876,0.864479,0.894435,0.861992,0.847385,0.82474,0.376412,0.313626,0.701358,0.207554,0.230473,0.630615,0.636553,0.222279,0.179514,0.171819,0.013876,0.021284,5.789e-05,True,True
6,0.993447,0.965433,0.462943,0.452613,0.405153,0.81706,0.831034,0.608926,0.737373,0.760516,0.4857,0.385987,0.344399,0.240272,0.214044,0.929115,0.691114,0.950439,0.856047,0.892103,0.863994,0.830078,0.822376,0.401495,0.336641,0.70709,0.211868,0.235161,0.632598,0.645097,0.223922,0.179165,0.183271,0.015642,0.024114,5.714e-05,True,True
7,0.985722,0.955971,0.459555,0.451042,0.401397,0.8183,0.822431,0.610484,0.748911,0.760138,0.488326,0.382078,0.333176,0.24049,0.204174,0.935881,0.690536,0.951945,0.879387,0.900904,0.862711,0.831149,0.834075,0.38729,0.327084,0.702907,0.210565,0.232626,0.630606,0.640246,0.2239,0.179373,0.177897,0.015018,0.026957,5.629e-05,True,False
8,0.976143,0.950534,0.471821,0.462688,0.414395,0.825,0.831595,0.614985,0.752447,0.768045,0.499588,0.399539,0.345956,0.253459,0.219785,0.938643,0.702842,0.95192,0.881433,0.905471,0.87054,0.844269,0.837953,0.416364,0.342452,0.713472,0.214908,0.232496,0.637006,0.650851,0.229912,0.184999,0.183951,0.01487,0.024862,5.533e-05,True,True
9,0.970027,0.947969,0.465575,0.457268,0.407362,0.823009,0.821192,0.611004,0.756702,0.764434,0.494288,0.39224,0.339794,0.246539,0.206877,0.941443,0.706288,0.952396,0.888313,0.908909,0.878573,0.855221,0.846014,0.40609,0.34292,0.70678,0.21283,0.233697,0.63908,0.640669,0.227572,0.183951,0.180232,0.016595,0.027963,5.427e-05,True,False
10,0.965087,0.94544,0.465967,0.456601,0.407813,0.822009,0.834472,0.616271,0.749328,0.766158,0.49845,0.405813,0.330296,0.234723,0.21144,0.940198,0.69926,0.95248,0.886214,0.908143,0.874274,0.865352,0.832442,0.38489,0.330462,0.70602,0.213594,0.235345,0.624084,0.646985,0.227281,0.187915,0.177287,0.017737,0.024356,5.312e-05,True,False
11,0.958757,0.944565,0.474433,0.463563,0.415073,0.82817,0.83427,0.608955,0.754499,0.773665,0.492172,0.411656,0.366392,0.234981,0.211572,0.94014,0.702251,0.951482,0.885683,0.907288,0.876676,0.863181,0.832873,0.376762,0.356725,0.718285,0.220411,0.235926,0.635438,0.660589,0.231919,0.190271,0.192274,0.018331,0.029082,5.187e-05,True,True
12,0.953602,0.938392,0.467651,0.45956,0.409484,0.823991,0.819049,0.614017,0.760017,0.764976,0.494667,0.398013,0.34078,0.244198,0.21427,0.942347,0.718528,0.953765,0.887941,0.910062,0.876964,0.874075,0.849595,0.42495,0.375519,0.707839,0.214073,0.243618,0.647354,0.638692,0.231898,0.186879,0.181167,0.018862,0.026939,5.054e-05,True,False
13,0.946549,0.936809,0.469043,0.459235,0.409594,0.825227,0.832085,0.613518,0.757081,0.768864,0.495375,0.417888,0.343383,0.233284,0.198767,0.94064,0.703689,0.953598,0.88627,0.908778,0.872948,0.855005,0.835285,0.389142,0.360976,0.711962,0.21828,0.242763,0.642689,0.647891,0.235796,0.193931,0.182527,0.019054,0.030481,4.912e-05,True,False
14,0.943742,0.93586,0.462619,0.455142,0.405944,0.81881,0.829329,0.612066,0.750333,0.763398,0.497855,0.391433,0.315364,0.258795,0.208817,0.941648,0.714833,0.95325,0.88471,0.910307,0.877386,0.855794,0.85674,0.436105,0.352669,0.698258,0.210865,0.236308,0.63038,0.635994,0.233713,0.18385,0.16828,0.015886,0.027469,4.763e-05,True,False
15,0.93855,0.929,0.475603,0.467183,0.417987,0.828871,0.832572,0.619172,0.76236,0.772476,0.506466,0.418576,0.337072,0.248063,0.22527,0.944748,0.714558,0.953477,0.893544,0.914791,0.884044,0.867697,0.839003,0.40437,0.377442,0.715152,0.216959,0.236292,0.646406,0.650372,0.229972,0.198192,0.179949,0.016038,0.027232,4.607e-05,True,True
16,0.935368,0.92704,0.479317,0.469669,0.420798,0.831573,0.835814,0.619757,0.762894,0.775954,0.504672,0.423461,0.356185,0.248815,0.215702,0.944189,0.715972,0.954089,0.895552,0.913079,0.872284,0.863485,0.84154,0.434608,0.370836,0.721053,0.221425,0.23911,0.644429,0.659805,0.232048,0.199922,0.187953,0.018672,0.030152,4.445e-05,True,True
17,0.93007,0.927424,0.4772,0.467634,0.41893,0.829529,0.836316,0.621599,0.759853,0.773924,0.508222,0.428448,0.343015,0.249797,0.210177,0.943486,0.71868,0.954658,0.890285,0.912694,0.878676,0.878691,0.842433,0.44404,0.355547,0.717692,0.218814,0.240334,0.644679,0.655,0.23103,0.199141,0.182639,0.017451,0.02762,4.277e-05,True,False
18,0.928472,0.924527,0.476521,0.46786,0.418682,0.829602,0.828057,0.618697,0.762928,0.773439,0.502901,0.411587,0.349796,0.256847,0.217525,0.942879,0.726638,0.953829,0.888737,0.910575,0.875443,0.869144,0.86095,0.471596,0.372119,0.718434,0.219342,0.238515,0.650172,0.655895,0.231355,0.195545,0.184931,0.019162,0.029166,4.104e-05,True,False
19,0.923917,0.92162,0.47658,0.467725,0.418425,0.830471,0.836415,0.618773,0.763526,0.775614,0.505996,0.417625,0.346185,0.246866,0.218262,0.946788,0.731393,0.954494,0.894463,0.917476,0.887454,0.881054,0.861611,0.448404,0.392361,0.71632,0.21969,0.244701,0.648184,0.652827,0.236762,0.196041,0.183135,0.019825,0.029547,3.927e-05,True,False
20,0.921524,0.92012,0.474065,0.466334,0.416642,0.82939,0.833639,0.620497,0.764482,0.774674,0.507554,0.406716,0.336774,0.260705,0.213432,0.946244,0.723591,0.954521,0.895892,0.91766,0.879135,0.866731,0.85626,0.457646,0.364113,0.714711,0.216893,0.235533,0.648392,0.651609,0.23091,0.19246,0.17916,0.017095,0.030126,3.746e-05,True,False
21,0.919302,0.919483,0.469594,0.461743,0.411601,0.828508,0.832296,0.620965,0.762597,0.773684,0.507634,0.386996,0.345353,0.257889,0.19805,0.946005,0.724663,0.955589,0.895633,0.916221,0.882888,0.871866,0.862316,0.457497,0.357188,0.713199,0.216274,0.234563,0.643304,0.652222,0.228281,0.185385,0.181935,0.018533,0.031288,3.562e-05,True,False
22,0.916848,0.919251,0.481574,0.473214,0.423754,0.834541,0.834233,0.61945,0.769971,0.779802,0.505865,0.409415,0.362133,0.257254,0.228057,0.949115,0.736042,0.955341,0.901097,0.921021,0.885906,0.881626,0.866012,0.470472,0.391218,0.722099,0.220817,0.242524,0.654419,0.658459,0.233255,0.193067,0.190871,0.020354,0.028897,3.376e-05,True,True
23,0.913317,0.919889,0.47123,0.462917,0.412437,0.829479,0.832349,0.62113,0.765798,0.774157,0.50524,0.406044,0.343563,0.245841,0.199776,0.947458,0.721828,0.955656,0.901356,0.918668,0.877125,0.876811,0.860167,0.424421,0.373774,0.713696,0.217988,0.244881,0.644289,0.651391,0.232431,0.193574,0.182074,0.018765,0.02969,3.188e-05,True,False
24,0.910058,0.918754,0.481503,0.47287,0.423158,0.835026,0.831851,0.622722,0.771137,0.779543,0.508286,0.415734,0.361872,0.258873,0.214643,0.949977,0.738887,0.955918,0.902784,0.922498,0.88561,0.875077,0.875437,0.483175,0.391526,0.722214,0.221573,0.245384,0.655887,0.656663,0.232807,0.197983,0.189876,0.021349,0.030757,3e-05,True,False
25,0.90629,0.916937,0.474549,0.466277,0.416566,0.830484,0.837109,0.617215,0.764543,0.777707,0.501444,0.400963,0.350062,0.262844,0.206377,0.949054,0.738385,0.955579,0.899365,0.921833,0.882712,0.884787,0.875023,0.485802,0.380156,0.714121,0.21895,0.243992,0.645211,0.653349,0.23391,0.191237,0.184065,0.019667,0.03147,2.812e-05,True,False
26,0.905585,0.916255,0.479983,0.471096,0.421713,0.83324,0.836781,0.619004,0.767395,0.779249,0.506802,0.420556,0.353681,0.263778,0.206213,0.950256,0.740488,0.955557,0.902926,0.922003,0.894306,0.897577,0.865851,0.479317,0.383872,0.718403,0.221753,0.242178,0.645196,0.658207,0.235579,0.197311,0.185762,0.020563,0.033099,2.624e-05,True,False
27,0.901806,0.913948,0.477277,0.468642,0.419156,0.833136,0.842533,0.619813,0.765555,0.78074,0.507146,0.397856,0.360925,0.256151,0.212119,0.948696,0.729488,0.955262,0.901158,0.921158,0.883486,0.872897,0.864707,0.465761,0.368921,0.719728,0.221553,0.244812,0.644042,0.661431,0.234431,0.190943,0.189728,0.02157,0.031215,2.438e-05,True,False
28,0.899822,0.914197,0.47864,0.470371,0.421389,0.832225,0.841864,0.621464,0.764262,0.779268,0.511311,0.407288,0.347993,0.260411,0.222065,0.947851,0.735117,0.954954,0.896229,0.919523,0.888827,0.877542,0.864,0.472108,0.388699,0.718752,0.220624,0.242796,0.646765,0.6589,0.235618,0.194709,0.18423,0.019949,0.03034,2.254e-05,True,False
29,0.897802,0.913404,0.474133,0.467445,0.41719,0.829381,0.831556,0.617722,0.768973,0.774733,0.506954,0.407469,0.329201,0.262038,0.222746,0.949435,0.731651,0.953831,0.903307,0.921871,0.885107,0.877406,0.854373,0.457426,0.393723,0.711561,0.218059,0.24348,0.648909,0.648259,0.238336,0.194895,0.175217,0.019436,0.032214,2.073e-05,True,False
30,0.895966,0.911522,0.482758,0.474555,0.425076,0.834746,0.837462,0.616934,0.771429,0.781593,0.505102,0.42066,0.354133,0.267884,0.221082,0.951451,0.742486,0.955801,0.90601,0.924796,0.887056,0.882555,0.873879,0.482426,0.404202,0.720214,0.222514,0.242726,0.651743,0.658873,0.237685,0.200407,0.186612,0.019412,0.032092,1.896e-05,True,True
31,0.894927,0.910319,0.48177,0.474306,0.424323,0.835081,0.833916,0.623239,0.774202,0.780015,0.511792,0.415723,0.349592,0.263222,0.225595,0.951531,0.740831,0.955744,0.906974,0.924377,0.888921,0.88673,0.872742,0.468131,0.404086,0.720799,0.221674,0.246799,0.656454,0.656429,0.236396,0.199281,0.184848,0.020233,0.032856,1.723e-05,True,False
32,0.892268,0.912284,0.485474,0.47676,0.427251,0.837186,0.837389,0.621304,0.773812,0.783114,0.510304,0.427672,0.36149,0.26888,0.212046,0.951859,0.745639,0.955652,0.905552,0.925358,0.891186,0.897521,0.874106,0.491949,0.393717,0.724647,0.223713,0.247335,0.658781,0.660345,0.236249,0.202256,0.1894,0.020434,0.033595,1.555e-05,True,True
33,0.891604,0.909109,0.477023,0.469578,0.419419,0.832328,0.834843,0.620451,0.770532,0.779173,0.5078,0.412134,0.340063,0.264867,0.212476,0.951727,0.747684,0.956096,0.904701,0.925475,0.887929,0.894673,0.877267,0.492586,0.408172,0.715152,0.219851,0.246695,0.652332,0.652366,0.238088,0.196276,0.179212,0.020398,0.032767,1.393e-05,True,False
34,0.890608,0.910062,0.482547,0.47433,0.424605,0.835312,0.837685,0.618749,0.772681,0.781852,0.505497,0.416305,0.359625,0.268104,0.216247,0.952173,0.743782,0.956166,0.907147,0.926077,0.889125,0.887231,0.877044,0.488368,0.394846,0.720628,0.222965,0.248929,0.65327,0.658197,0.2396,0.198417,0.188858,0.01992,0.032797,1.237e-05,True,False
35,0.888067,0.908715,0.481085,0.473096,0.423483,0.835289,0.841161,0.618911,0.77077,0.783221,0.508538,0.406607,0.35698,0.267128,0.218426,0.95291,0.751112,0.956005,0.906326,0.927322,0.893136,0.889333,0.885358,0.508964,0.402557,0.719857,0.22202,0.243236,0.650552,0.659519,0.236411,0.194353,0.187082,0.022056,0.032703,1.088e-05,True,False
36,0.886755,0.910176,0.483768,0.475075,0.425659,0.835896,0.841079,0.617584,0.771576,0.783569,0.505646,0.424367,0.358432,0.260791,0.221148,0.951399,0.739964,0.956176,0.905597,0.925207,0.887551,0.885441,0.872493,0.476422,0.392671,0.722543,0.223856,0.247885,0.652969,0.661889,0.238892,0.201146,0.188352,0.020828,0.03203,9.46e-06,True,False
37,0.88524,0.908454,0.484934,0.476932,0.427205,0.836767,0.835688,0.621785,0.775296,0.782628,0.512001,0.427161,0.353155,0.267542,0.220742,0.952854,0.747648,0.955989,0.908817,0.926368,0.892185,0.891885,0.876402,0.494128,0.40492,0.72284,0.223428,0.248956,0.657,0.659534,0.239218,0.202021,0.18577,0.020747,0.033276,8.13e-06,True,False
38,0.883662,0.909006,0.479028,0.470789,0.420327,0.834607,0.835201,0.617988,0.773561,0.781417,0.505426,0.419456,0.352375,0.253497,0.209794,0.952257,0.739714,0.9559,0.908201,0.926333,0.88991,0.889732,0.86989,0.471637,0.390783,0.719148,0.22259,0.248908,0.654495,0.656562,0.239525,0.198864,0.185706,0.022382,0.032499,6.88e-06,True,False
39,0.883372,0.909585,0.481913,0.47349,0.423594,0.835815,0.84011,0.620528,0.772867,0.782739,0.509399,0.422309,0.354603,0.25708,0.215432,0.952606,0.744514,0.956243,0.907905,0.926549,0.891369,0.894112,0.873899,0.4775,0.403654,0.721197,0.223024,0.246894,0.652969,0.659651,0.237967,0.200966,0.186372,0.021635,0.03155,5.73e-06,True,False
40,0.880746,0.909175,0.479726,0.471713,0.421387,0.83483,0.83554,0.616738,0.773668,0.781659,0.503324,0.410516,0.358712,0.259678,0.214432,0.952537,0.743231,0.956182,0.908136,0.926736,0.888876,0.886045,0.878501,0.479655,0.399569,0.719314,0.22226,0.247311,0.655183,0.656333,0.238367,0.195855,0.18843,0.022258,0.032315,4.67e-06,True,False
41,0.881513,0.907679,0.481663,0.473844,0.423523,0.835663,0.834256,0.619898,0.775768,0.781497,0.508557,0.421336,0.352089,0.261386,0.216276,0.952738,0.74386,0.956153,0.909186,0.926644,0.890674,0.889655,0.871176,0.485812,0.399197,0.720767,0.222562,0.248439,0.658237,0.656413,0.238725,0.200541,0.185572,0.02142,0.032702,3.71e-06,True,False
42,0.879855,0.908874,0.481822,0.473572,0.423674,0.835776,0.838991,0.617812,0.77296,0.783268,0.505565,0.41354,0.36046,0.26166,0.217552,0.952937,0.747365,0.956422,0.908285,0.927152,0.890521,0.891177,0.880809,0.492855,0.401678,0.720797,0.223248,0.247741,0.652879,0.659763,0.238319,0.196934,0.189099,0.022374,0.032996,2.86e-06,True,False
43,0.879122,0.90815,0.480314,0.472258,0.422016,0.834721,0.836989,0.619091,0.773707,0.781324,0.5072,0.42358,0.348285,0.255129,0.21658,0.953174,0.744004,0.956347,0.909788,0.927458,0.890991,0.891405,0.877479,0.473778,0.402913,0.718473,0.222291,0.249726,0.652363,0.656345,0.239181,0.200865,0.183482,0.022004,0.03187,2.11e-06,True,False
44,0.879701,0.909155,0.483859,0.475389,0.426044,0.836495,0.843447,0.619512,0.771457,0.784387,0.507764,0.412364,0.364665,0.267685,0.219401,0.952665,0.748934,0.956383,0.906913,0.926818,0.890104,0.889805,0.883254,0.498118,0.405505,0.722487,0.223836,0.246914,0.650894,0.662658,0.237936,0.197251,0.190907,0.021374,0.03289,1.47e-06,True,False
45,0.877916,0.908769,0.482539,0.474149,0.42403,0.836434,0.83767,0.618649,0.774865,0.783425,0.506225,0.422077,0.358957,0.258931,0.214567,0.952932,0.743713,0.956357,0.909766,0.927158,0.888435,0.890308,0.875331,0.481849,0.399198,0.722104,0.223769,0.247848,0.655248,0.660258,0.23872,0.200452,0.188319,0.022193,0.032672,9.4e-07,True,False
46,0.877255,0.908228,0.487089,0.478707,0.429446,0.837679,0.84138,0.621043,0.774277,0.784744,0.510772,0.428142,0.358924,0.26884,0.225253,0.952874,0.746805,0.955994,0.908449,0.927125,0.889968,0.888752,0.876656,0.492337,0.405992,0.724628,0.224713,0.248249,0.65504,0.663215,0.239474,0.203601,0.188739,0.020633,0.032616,5.3e-07,True,True
47,0.877544,0.907825,0.481164,0.473208,0.423044,0.835536,0.837889,0.618717,0.774197,0.782684,0.506458,0.41646,0.354548,0.261493,0.216619,0.953026,0.74587,0.956319,0.908864,0.927494,0.889544,0.890512,0.878894,0.487492,0.401282,0.720234,0.222651,0.247667,0.655034,0.658094,0.23848,0.198505,0.186477,0.021824,0.032528,2.4e-07,True,False
48,0.876478,0.908338,0.484946,0.476759,0.426914,0.83705,0.836978,0.618724,0.775832,0.783653,0.507018,0.424518,0.359551,0.267399,0.219343,0.953602,0.748211,0.956299,0.91055,0.927954,0.890458,0.89149,0.880894,0.494845,0.403629,0.722668,0.223871,0.248666,0.656568,0.659928,0.239129,0.201392,0.188797,0.021218,0.032764,6e-08,True,False
49,0.877655,0.908089,0.480719,0.472609,0.422498,0.835168,0.83815,0.619041,0.773273,0.782326,0.506909,0.418813,0.352584,0.260405,0.213954,0.953124,0.747888,0.956493,0.908393,0.927505,0.89071,0.894581,0.883246,0.490384,0.400903,0.719408,0.222376,0.248435,0.653526,0.657536,0.238107,0.199048,0.185287,0.02212,0.03216,0.0,True,False
